feature,permutation_norm,shap_norm,consensus
dv_white_water_freeness_roc_2min,-0.0007066709626991307,0.005320626515503841,0.002306977776402355
ash_dev,0.0016250831987576115,0.0027576078057663165,0.002191345502261964
dv_press_load,-0.001567255309695384,0.005846484197334151,0.0021396144438193833
bw_dev_roc_0_5min,0.00174719607679836,0.00246724993107582,0.00210722300393709
speed_change_pct,-0.001624284391266004,0.005600343336365283,0.0019880294725496393
mv_stock_flow,-0.0003808371748861726,0.003916368474267195,0.0017677656496905112
mv_filler_flow_roc_1min,0.000736546241487441,0.0025022088083361737,0.0016193775249118073
bw_dev_mean_2min,0.0012667527831193267,0.001569104771424031,0.0014179287772716788
caliper,-0.00013978980390099753,0.0029206442992262705,0.0013904272476626366
mv_filler_flow_remaining,-0.0004767433509352132,0.0032556805622012052,0.001389468605632996
steam_headroom_kpa,-0.00121939032383587,0.0037783439063107174,0.0012794767912374238
bw_dev_std_2min,0.000538090796554487,0.0020170115097681534,0.0012775511531613202
ramp_is_feasible,0.0015245634007842546,0.0008501649252244266,0.0011873641630043407
mv_steam_pressure_roc_1min,0.0011581118582612356,0.0012019280453490866,0.0011800199518051612
bw_dev_roc_2min,0.0008178235409033605,0.0013830351063859004,0.0011004293236446304
mv_steam_pressure_remaining_frac,-0.0018083939801461783,0.003916294234059926,0.0010539501269568737
bw_to,0.0005787737092809911,0.0013424127635831827,0.0009605932364320868
stock_headroom,0.00015974111567345142,0.001637534515824145,0.0008986378157487982
mv_retention_aid,-0.0009615967667064914,0.002622016784637841,0.0008302100089656747
mv_stock_flow_roc_1min,0.000276035616248838,0.0012551798580224531,0.0007656077371356456
speed_at_limit,0.00034781020220706147,0.001029845331671885,0.0006888277669394732
dv_ambient_humidity_roc_2min,-0.0003769030691634229,0.0017304281047118553,0.0006767625177742162
dv_broke_ratio_roc_2min,-6.826190041256276e-05,0.0013341307770778391,0.0006329344383326382
dv_headbox_consistency_dev,0.00030137208006538504,0.0007654471610146952,0.0005334096205400401
mv_steam_pressure_remaining,-0.0029291620119565325,0.00387594014364226,0.00047338906584286377
bw_dev_pct,0.000286274786798083,0.0005398354559405633,0.0004130551213693232
dv_steam_header_kpa_roc_2min,-3.6387530642847794e-05,0.0007641734423664806,0.0003638929558618164
dv_wire_drainage_index_dev,-5.2136410985438136e-05,0.0007477348483449541,0.000347799218679758
bw_dev_projected,0.0001643405683591022,0.00045508301645828076,0.00030971179240869146
moisture_dev,-0.00022491523427938575,0.0008382208088085772,0.0003066527872645957
dv_white_water_freeness_dev,0.00010341764644696558,0.0004309998949988125,0.00026720877072288905
dv_press_load_roc_2min,5.5909259654158034e-05,0.0003989671301602089,0.00022743819490718346
ash_roc_1min,-0.001046965094394614,0.0013258470784874542,0.00013944099204642006
dv_press_load_dev,-1.294589429875462e-05,0.0002381510445043775,0.00011260257510281145
dv_wire_drainage_index_roc_2min,-0.00021342442319504266,0.00041028052722291036,9.842805201393385e-05
dv_refiner_sec_roc_2min,-9.350173712397918e-05,0.00027079998540442864,8.864912414022474e-05
dv_couch_vacuum_roc_2min,-8.975043831006501e-05,0.0002389391173772877,7.459433953361135e-05
dv_couch_vacuum_dev,2.5075722964936198e-05,6.937209429984517e-05,4.722390863239068e-05
moisture_roc_1min,3.074404825354556e-05,4.131955358755845e-05,3.6031800920552e-05
in_ramp,-1.4543013044142436e-05,6.395339900113223e-05,2.4705192978494893e-05
currently_off_spec,1.4526540851722762e-05,2.579727262035353e-05,2.0161906736038147e-05
bw_dev_roc_1min,1.0545850648062552e-05,1.7379116962943722e-05,1.3962483805503136e-05
dv_steam_header_kpa_dev_norm,0.0,0.0,0.0
dv_ambient_humidity_dev_norm,0.0,0.0,0.0
dv_headbox_consistency_dev_norm,0.0,0.0,0.0
dv_broke_ratio_dev,0.0,0.0,0.0
dv_broke_ratio_dev_norm,0.0,0.0,0.0
steam_saturated,0.0,0.0,0.0
dv_wire_drainage_index_dev_norm,0.0,0.0,0.0
dv_couch_vacuum_dev_norm,0.0,0.0,0.0
dv_steam_header_kpa_dev,0.0,0.0,0.0
dv_white_water_freeness_dev_norm,0.0,0.0,0.0
dv_refiner_sec_dev,0.0,0.0,0.0
dv_ambient_humidity_dev,0.0,0.0,0.0
projected_breach,0.0,0.0,0.0
dv_refiner_sec_dev_norm,0.0,0.0,0.0
